id,sex,repro,readsite,night,month,year,first_time,time_spent_action,mean_time_bout,sd_time_bout,n,,07:00 p. m.,06:00 a. m.
*989001003024517,female,lactating,carmen,22/05/2015,May,2015,19H 53M 1S,foraging,6914.5,11245.15168,4,,,
*989001003024517,female,lactating,carmen,23/05/2015,May,2015,19H 43M 39S,foraging,871.5714286,2899.109252,21,,,
*989001003024517,female,lactating,carmen,24/05/2015,May,2015,19H 38M 0S,foraging,14804.5,17821.21221,2,,,
*989001003024517,female,lactating,carmen,25/05/2015,May,2015,19H 47M 32S,foraging,14537.5,19678.07461,2,,,
*989001005527039,female,pregnant,carmen,24/04/2016,Apr,2016,20H 32M 51S,roosting,667967,NA,1,,,
*989001003024517,female,lactating,carmen,26/05/2015,May,2015,19H 45M 45S,foraging,5796.4,11711.52743,5,,,
*989001003024610,female,lactating,carmen,01/06/2015,May,2015,19H 54M 33S,roosting,488772,NA,1,,,
*989001003024517,female,lactating,carmen,27/05/2015,May,2015,19H 42M 20S,foraging,15063.5,19697.8736,2,,,
*989001005064922,female,pregnant,carmen,22/04/2016,Apr,2016,20H 2M 1S,roosting,341835,455368.2818,2,,,
*989001003024517,female,lactating,carmen,28/05/2015,May,2015,19H 40M 12S,foraging,1161.833333,1346.122345,6,,,
*989001003024676,female,non,carmen,01/06/2015,May,2015,21H 15M 30S,roosting,339605,NA,1,,,
*989001003024519,female,lactating,carmen,22/05/2015,May,2015,19H 56M 0S,foraging,29763,NA,1,,,
*989001003024692,female,lactating,carmen,28/05/2015,May,2015,20H 11M 33S,roosting,301308.5,425646.4625,2,,,
*989001003024519,female,lactating,carmen,23/05/2015,May,2015,19H 51M 43S,foraging,28227,NA,1,,,
*989001005064949,female,pregnant,carmen,20/04/2016,Apr,2016,20H 8M 41S,roosting,297078,405638.8761,2,,,
*989001003024519,female,lactating,carmen,24/05/2015,May,2015,19H 49M 33S,foraging,55,NA,1,,,
*989001003024564,female,non,carmen,29/05/2015,May,2015,21H 45M 20S,roosting,262739.5,370868.3143,2,,,
*989001003024519,female,lactating,carmen,25/05/2015,May,2015,19H 54M 52S,foraging,29189,NA,1,,,
*989001005064902,female,pregnant,carmen,25/04/2016,Apr,2016,20H 26M 47S,roosting,257126.5,333439.7382,2,,,
*989001003024519,female,lactating,carmen,26/05/2015,May,2015,19H 54M 29S,foraging,28898,NA,1,,,
*989001005527126,female,pregnant,carmen,24/04/2016,Apr,2016,20H 44M 19S,roosting,233119,NA,1,,,
*989001003024519,female,lactating,carmen,27/05/2015,May,2015,19H 55M 12S,foraging,30722,NA,1,,,
*989001006646632,female,lactating,carmen,03/06/2017,Jun,2017,20H 3M 46S,roosting,209220.5,295790.5447,2,,,
*989001003024519,female,lactating,carmen,28/05/2015,May,2015,20H 3M 14S,foraging,6894,7772.000772,4,,,
*989001003024610,female,lactating,carmen,25/05/2015,May,2015,19H 42M 59S,roosting,171959,NA,1,,,
*989001003024519,female,lactating,carmen,29/05/2015,May,2015,19H 54M 3S,foraging,28994,NA,1,,,
*989001005064977,female,pregnant,carmen,20/04/2016,Apr,2016,20H 19M 46S,roosting,166751,217735.1485,2,,,
*989001003024519,female,lactating,carmen,30/05/2015,May,2015,19H 55M 30S,foraging,29400,NA,1,,,
*989001005064930,female,pregnant,carmen,24/04/2016,Apr,2016,21H 3M 1S,roosting,161332,NA,1,,,
*989001003024519,female,lactating,carmen,31/05/2015,May,2015,20H 0M 29S,foraging,29031,NA,1,,,
*989001003024646,female,lactating,carmen,24/05/2015,May,2015,19H 52M 33S,roosting,155738,NA,1,,,
*989001003024665,female,lactating,carmen,01/06/2015,May,2015,19H 53M 13S,roosting,142326,NA,1,,,
